title;description;price
'Базовый блок "Мустанг-2000 +" 4 канала';'Базовый блок "Мустанг-2000 +" 4 канала';12 900,00
'Базовый блок "Мустанг-2000 +" 2 канала';'Базовый блок "Мустанг-2000 +" 2 канала';8 900,00
'Базовый блок "Мустанг-2000 +" 1 канал';'Базовый блок "Мустанг-2000 +" 1 канал';6 900,00
'Базовый блок "Мустанг-2000" 4 канала';'Базовый блок "Мустанг-2000" 4 канала';11 600,00
'Базовый блок "Мустанг-2000" 2 канала';'Базовый блок "Мустанг-2000" 2 канала';8 000,00
'Блок биоуправления (музыкальный) к АЛТ "Мустанг-2000"';'Блок биоуправления (музыкальный) к АЛТ "Мустанг-2000"';8 000,00
'Блок биоуправления к АЛТ "Мустанг-2000"';'Блок биоуправления к АЛТ "Мустанг-2000"';4 800,00
'Аппарат лазерный терапевтический "Мулат" (2 мВт на вых КИВЛ02)';'Аппарат лазерный терапевтический "Мулат" (2 мВт на вых КИВЛ02)';13 400,00
'Аппарат лазерный терапевтическ "Мулат"-М5 (5 мВт на вых КИВЛ02)';'Аппарат лазерный терапевтическ "Мулат"-М5 (5 мВт на вых КИВЛ02)';18 500,00
'Аппарат лазерный терапевтич. "Мулат"-М10 (10 мВт на вых КИВЛ02)';'Аппарат лазерный терапевтич. "Мулат"-М10 (10 мВт на вых КИВЛ02)';24 500,00
'Стойка универсальная для АЛТ "Мустанг", АЛТ "Мулат"';'Стойка универсальная для АЛТ "Мустанг", АЛТ "Мулат"';9 900,00
'Универсальный измеритель мощности лазерного излучения               "Лазер-стандарт" (Сертификат,  Свидетельство о поверке)';'Универсальный измеритель мощности лазерного излучения               "Лазер-стандарт" (Сертификат,  Свидетельство о поверке)';29 000,00
'Лазерная излучающая матрица МЛО1К-2000';'Лазерная излучающая матрица МЛО1К-2000';6 600,00
'Лазерная излучающая головка ЛО1-2000';'Лазерная излучающая головка ЛО1-2000';3 080,00
'Лазерная излучающая головка ЛО2-2000';'Лазерная излучающая головка ЛО2-2000';4 100,00
'Лазерная излучающая головка ЛО3-2000';'Лазерная излучающая головка ЛО3-2000';5 500,00
'Лазерная излучающая головка ЛО4-2000';'Лазерная излучающая головка ЛО4-2000';7 400,00
'Лазерная излучающая головка ЛО5-2000';'Лазерная излучающая головка ЛО5-2000';8 690,00
'Лазерная излучающая головка ЛО6-2000';'Лазерная излучающая головка ЛО6-2000';9 790,00
'Лазерная излучающая головка ЛО7-2000';'Лазерная излучающая головка ЛО7-2000';11 900,00
'Лазерная излучающая головка ЛОК2-2000';'Лазерная излучающая головка ЛОК2-2000';7 900,00
'Лазерная излучающая головка КЛО1-2000';'Лазерная излучающая головка КЛО1-2000';3 500,00
'Лазерная излучающая головка КЛО2-2000';'Лазерная излучающая головка КЛО2-2000';6 600,00
'Лазерная излучающая головка КЛО3-2000';'Лазерная излучающая головка КЛО3-2000';6 600,00
